partido_o_movimiento,votos,porcentaje,candidato_a_mas_votado_a,escanos
Partido Liberal Colombiano,2471596,"16,57%",Nubia López Morales,35
Centro Democrático,2388405,"16,19%",Edward David Rodríguez Rodríguez,32
Partido Cambio Radical,2140630,"14,23%",Hernando José Padauí Álvarez,30
Partido Social de Unidad Nacional,1840253,"12,13%",Wilmer Ramiro Carrillo Mendoza,25
Partido Conservador Colombiano,1819867,"12,14%",Yamil Hernando Arana Padaui,21
Alianza Verde,884146,"6,04%",Inti Raúl Asprilla Reyes,9
Polo Democrático Alternativo,444912,"3,00%",Germán Navas Talero,2
Opción Ciudadana,310724,"2,04%",Franklin Lozano de la Ossa,2
Partido MIRA,551967,"3,98%",Irma Luz Herrera Rodríguez,1
Lista de la Decencia,255213,"1,84%",Maria José Pizarro,2
Colombia Justa Libres,110218,"0,79%",NA,1
"Alternativa Santandereana (Polo Democrático, Alianza Verde, ASI)",71222,"0,51%",NA,1
Colombiano Dignidades por Colombia,44034,"0,30%",César Augusto Pachón Achury,1
